Project,Product,Component,Found,Severity,ISSS,ISOIB,DDTS,Title,RNE,Description,PSIRT
CSC.netbu,c6k-fwm,other,customer-use,2,0,0,CSCtb29859,NP hang where NP 3 fails to communicate with NP1/2," Symptom:  FWSM locks up and fails to process through traffic. Failover does not occur. A manual failover can result in a loop/broadcast storm when the firewalls are configured in transparent mode.  Conditions:  Unknown conditions  Workaround:  Disable DCERPC inspection with ""no inspect dcerpc""","$$PSIRT-IGNOREThis is filed and associated with the UPITT CAP case  CAP002101UPitt has installed a cisco supplied infinistream to gather packet captures associated with a crash and an outage.I have identified an issue in replaying these captures in my lab with the u-pitt configurations.After replaying the 23 minute set of data (24 GB's of captures) on replay between 2 - 5 hours, the FWSM locks up and there is failure to communicate from NP3 to NP1/2.Stopping the traffic does not restore the FWSM. The FWSM does not failover during this and if the correct actions are taken (manually forcing failover with a 'failover active' command) the transparent nature of the configurations can cause broadcast storms and loops."," PSIRT-owner: elparis@cisco.com  This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.ena,all,crypto-ssh,customer-use,3,0,0,CSCtx47909,SFTP Server functionality Broken," Symptom: sftp download not working from external client. After entering the password  the connection is disconnected instantly.    Conditions: Executing an sftp download command to a Cisco Router with IOS-XR.    Workaround: Not available for the download function.  Uploading files from IOS-XR to a sftp server is working.  PSIRT Evaluation:  The Cisco PSIRT has evaluated this issue and determined it does not meet the criteria for PSIRT ownership or involvement. This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this issue, please contact psirt@cisco.com for another evaluation.  Additional information on Cisco's security vulnerability policy can be found at the following URL:  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html ",Not able to establish sftp connection when trying from one xr to the other xr whereas the  connection is successful when trying from xr to the coax-u10  server. Failed logs : http://wwwin-xrpi.cisco.com/bin/hfr-mpls/auto-view.php?file=/auto/xr_pi/web/cache/regression-archives/2012Jan/saursin2/R3.9-SFTP-Server-Suite.2012Jan19_04:30:57See attachments for logs.," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.netbu,gss,platform,customer-use,3,0,0,CSCts12373,Multiple Vulnerability  in openssl-0.9.7a-43.17," Symptoms:  This bug was filed to address potential impact to the following openssl vulnerabilities: CVE-2003-0147, CVE-2003-0543, CVE-2003-0544, CVE-2003-0545, CVE-2005-1247, CVE-2005-2946, CVE-2005-2969, CVE-2007-5135, CVE-2003-0131, CVE-2004-0967, CVE-2004-0968, CVE-2004-0969, CVE-2004-0970, CVE-2004-0971, CVE-2004-0972, CVE-2004-0974, CVE-2004-0975, CVE-2004-0976, CVE-2004-0977, CVE-2004-1382, CVE-2006-4343, CVE-2006-2940, CVE-2006-4339, CVE-2007-5810, CVE-2004-0079, CVE-2004-0081, CVE-2004-0112, CVE-2006-3738, CVE-2006-2937, CVE-2007-3108  After further investigation all these have already been fixed in the openssl version used by the product.  Conditions:  Device with default configuration.  Workaround:  Not applicable  PSIRT Evaluation: The Cisco PSIRT has evaluated this issue and does not meet the criteria for PSIRT ownership or involvement. This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this issue, please contact psirt@cisco.com for another evaluation.  Additional information on Cisco's security vulnerability policy can be found at the following URL:  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html","This is a CIAM notification bug for openssl, reporting that openssl in gss is hit by following CVEhttp://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=5642http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=6719http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=9846http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=14221http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=5675http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=8217http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=11790http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=11791http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=11659http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=7396http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=11788http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=11789http://tvce.cisco.com/knowledge/aimsxp/alertpublication/express/alert_preview.asp?AlertID=13890"," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.sys,c2911,media-mon,customer-use,2,0,0,CSCus96512,ISRG2//Red zone corruption crash occurs with Media Monitoring configuration," Symptom: Red Zone corruption Crash Observed.  Conditions: This issue has been observed in a single customer and recreate attempts have not be successful.    Believed there is a race condition when common classification engine is run that could result in the perf-mon feature returning a condition that could lead to a red zone corruption crash.  Affected configurations would need to include at least one service-policy type performance-monitor applied to an interface.  Affected Cisco IOS releases are listed below, along with the recommended first fix or migration path:  +-----------------------------------------------+ | Train   | First Fixed Release                 | |---------+-------------------------------------| | 15.2E   | 15.2(2)E4, 15.2(3)E2, 15.2(4)E      | |---------+-------------------------------------| | 15.3M   | 15.3(3)M7                           | |---------+-------------------------------------| |         | Release prior to 15.3(2)T are Not   | | 15.3T   | Vulnerable.  Vulnerable; Migrate to | |         | 15.5T                               | |---------+-------------------------------------| | 15.3XB  | Was LISP specific builds.           | |---------+-------------------------------------| | 15.4CG  | Vulnerable; Migrate to 15.4M        | |---------+-------------------------------------| | 15.4M   | 15.4(3)M3                           | |---------+-------------------------------------| | 15.4T   | Vulnerable; Migrate to 15.5T        | |---------+-------------------------------------| | 15.5T   | 15.5(1)T2, 15.5(2)T1                | +-----------------------------------------------+  Workaround: None.  Further Problem Description: PSIRT Evaluation: The Cisco PSIRT has evaluated this issue and does not meet the criteria for PSIRT ownership or involvement. This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this issue, please contact psirt@cisco.com for another evaluation.  Additional information on Cisco's security vulnerability policy can be found at the following URL:  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html  ","ISRG2//Red zone corruption crash occurs when performing a Nessus Vulnerability Scan.Router Platform : C2911IOS : 15.4(3)MJan  9 09:16:00.965 CET: %SYS-3-OVERRUN: Block overrun at 21A4F4DC (red zone 34D26D10)-Traceback= 30044BB4z 30046018z 30046420z 30032934z 30032918zvalidblock_diagnose, code = 5current memory block, bp = 0x21A4F4DC,memorypool type is Processordata check, ptr = 0x21A4F50Cnext memory block, bp = 0x21A4F528,memorypool type is Processordata check, ptr = 0x21A4F558previous memory block, bp = 0x21A4F490,memorypool type is Processordata check, ptr = 0x21A4F4C0"," PSIRT-owner: marmclau           PSIRT is reviewing this issue for possible inclusion in a Cisco Security  Advisory which could include this DDTs.  Please do not change the  Release-note Enclosure, as PSIRT will modify it appropriately when this  issue is made public.          Should customers request information regarding this DDTs or appear to be running into this DDTs within their network, please bring it to the immediate attention of the Cisco PSIRT at psirt@cisco.com."
CSC.voice,ciscocm,webdialer-service,customer-use,3,0,0,CSCut82634,secure attribute not set in tokens," $$IGNORE Symptoms: This is a modification request for the product team to adopt new secure code best practices to enhance the security posture and resiliency of the product. The Cisco Product Security Baseline requirements should be followed and developed into your product in the next maintenance release cycle to help mitigate any potential vulnerabilities and to remove the risk of having this type of security issue inside of your code.  Development teams are required to use the Cisco CSERV tool to go through the security requirements process. Please login to the CSERV tool here: https://cserv.cisco.com.  For more information on the Cisco Product Security Baseline requirement as well as the required testing tasks please review the following links: 1.) Cisco PSB Development Requirements: http://csdl-web.cisco.com/cserv/DevTasks 2.) Cisco PSB Testing and Verification Tasks: http://csdl-web.cisco.com/cserv/VerTasks  Always keep your CSDL Security Engagement Managers involved / informed.  Cisco Secure Development Lifecycle SEM Org Assignments https://cisco.jiveon.com/docs/DOC-309951    Conditions: Device configured with default configuration.  Workaround: Not applicable or available.   PSIRT Evaluation: The Cisco PSIRT has evaluated this issue and does not meet the criteria for PSIRT ownership or involvement. This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this issue, please contact psirt@cisco.com for another evaluation.  Additional information on Cisco's security vulnerability policy can be found at the following URL:  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html","The Session Tokens 'uid' and 'sess' are not secured by setting the secure flag. If the secure flag is not set, then the cookie will be transmitted in clear-text if the user visits any HTTP URLs within the cookie's scope. An attacker may be able to induce this event by feeding a user suitable links, either directly or via another web site."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.content-security,esa,amp,customer-use,2,0,0,CSCve23078,"ESA AMP can allow viruses through, hours after they are flagged viral"," Symptom: An ESA can be flagging files as Amp clean from cache verdicts, after the cloud has updated its status of a file to be viral.  Conditions: This situation can occur when a file, passes the initial AMP upload evaluation without a virus being detected.  If the file is later reclassified as viral, from the additional resources integrated into Amp, there can be a lag before that result, propagates out to the ESAs.  Workaround: None.  Further Problem Description: None.  PSIRT Evaluation: The Cisco PSIRT has evaluated this issue and does not meet the criteria for PSIRT ownership or involvement. This issue will be addressed via normal resolution  channels.  If you believe that there is new information that would cause a change in the severity of this issue, please contact psirt@cisco.com for another evaluation.  Additional information on Cisco's security vulnerability policy can be found at the following URL:  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html  ","Customer : TECH MAHINDRA LTD BEMS604694  SR: 682182261This bug is the issue that is referenced from CSCvd77545 and CSCve12298, but I am filing it a separate bug cause the earlier defects were filed as enhancement changes and design plans.  Our defect is that an ESA, working according to how the AMP integration is designed, can hit situations where the ESA is flagging files as not AMP viral, up to 24 hours after the Amp cloud knows a file is viral.  The situation where we run into trouble, is when the initial Amp upload scan, does not find a virus, and this upload file is later reclassified as a virus.The ESA caches AMP evaluations indefinately.  And the ESA requires a retrospective answer from the cloud, to reclassify a file that was initially evaluated as non viral, as being viral.  The problem is that the retrospective data that the ESA needs, is created by batch jobs that introduce significant lags that can be over 24 hours.Lets say we have a file ;newvirus.exe;1) If the Amp upload scan does not have a virus, its cached as non viral.2) newvirus.exe, is later reclassified in the cloud as being a virus.3) The next time our ESA sees file, newvirus.exe, its handled as non viral, if we have not received back the retrospective update from the cloud.Lets say event 1 above was 25 hours ago,  and newvirus.exe gets flagged as viral now.  This data to update this viral verdict, requires a batch job to run in the cloud that only runs once every 24 hours.  Which means the ESA is going to take up to day to get this update.  This is the more unusual lag,  when a SHA hasn't been seen by an ESA for more than 1 day.  For the more common case, where an ESA has seen the virus in the past day, the batch job is run every hour, and the ESA polls for it every 15 minutes.  So the normal time where we see an ESA out of sync on viral verdicts is  1 hour + 15 mins + server propagation and job execution, which is not unusual to take around 2 hours in some cases."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.content-security,esa,tls,customer-use,3,0,0,CSCug26225,Application Faults when closing TLS connections," Symptom: Customer may see one or more of the following in their mail logs:  failed to close TLS connection on interface InterfaceName from RemoteIPAddress. Error: (67686519, 'error:0408D077:rsa routines:FIPS_RSA_VERIFY:wrong signature length')  failed to close TLS connection on interface InterfaceName from RemoteIPAddress. Error: (336195711, 'error:1409F07F:SSL routines:SSL3_WRITE_PENDING:bad write retry')  Conditions: TLS is enabled for incoming connections.  Workaround: None known at this point.  PSIRT Evaluation: The Cisco PSIRT has evaluated this issue and does not meet the criteria for PSIRT ownership or involvement. This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this issue, please contact psirt@cisco.com for another evaluation.  Additional information on Cisco's security vulnerability policy can be found at the following URL:  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html  Further Problem Description:  ","Reported by Friendly (Tomki) Problem: Received the appfault during his normal mail flow.The Critical message is: An application fault occurred: ('egg/coro_ssl.py _non_blocking_retry|133', ;<class 'sslip.Error'>;, ;(67686519, 'error:0408D077:rsa routines:FIPS_RSA_VERIFY:wrong signature length');, '[egg/injector.py run|1043] [egg/injector.py _run|1213] [egg/coro_ssl.py close|231] [egg/coro_ssl.py shutdown|211] [egg/coro_ssl.py _non_blocking_retry|133]') Version: 8.0.0-550Serial Number: 503DE59DBC41-FTX1604M07FTimestamp: 05 Apr 2013 06:45:20 -0700"," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.content-security,sfims,snort,customer-use,2,0,0,CSCvg32461,"Firepower is unable to detect/block graphics file downloads, only uploads."," $$IGNORE-PSIRT  CISCO HIGHLY CONFIDENTIAL - CONTROLLED ACCESS  This issue is under review by the Cisco Product Security Incident Response team (PSIRT).  The defect describes a product security vulnerability.  Its contents must be protected from unauthorized disclosure, both internal and external to Cisco.  Do not forward this information to mailing lists or newsgroups.  Documentation writers: it is prohibited to publish this Release-note  Enclosure (RNE) until the content has been approved by PSIRT.  PSIRT may  publish a Security Advisory regarding this defect, and the current text of  this RNE will be replaced with appropriate information.  In the event that  a Security Advisory is not published, PSIRT will replace this text with an  appropriate explanation.  More information on PSIRT is available at http//psirt.cisco.com/.   Cisco's public policy on security vulnerability handling can be reviewed at  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html. For further information, send a message to psirt@cisco.com.  (jklimarc-10/12/17)$$IGNORE  Symptom:  Conditions:  Workaround:  Further Problem Description:",Graphics file detection and blocking is only valid in the upload direction.," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.content-security,sma,wui_general,customer-use,3,0,0,CSCuq19202,[SMA] CRIME Vulnerability (CVE-2012-4929)," Symptom: The web server included with the SMA is potentially vulnerable to the CRIME vulnerability (CVE-2012-4929).  Conditions: Default configuration.  Workaround: The CRIME vulnerability can only be exploited if both the server and web browser both support TLS compression.  Almost all modern web browsers disable compression for TLS connections.  To avoid any potential exposure to this vulnerability, please ensure that your browser does not support TLS compression.    All versions of Internet Explorer, and the latest versions of Chrome and Firefox do not support TLS compression and are therefore not vulnerable to the CRIME exploit.  Further Problem Description: The CRIME vulnerability can be exploited via TLS or SPDY compression.  We do not support the SPDY protocol currently, so only TLS compression is potentially vulnerable.  PSIRT Evaluation:  The Cisco PSIRT has assigned this bug the following CVSS version 2 score. The Base and Temporal CVSS scores as of the time of evaluation are 2.6/2.3: http://tools.cisco.com/security/center/cvssCalculator.x?vector=AV:N/AC:H/Au:N/C:N/I:N/A:P/E:POC/RL:U/RC:C&version=2.0  CVE ID  CVE-2012-4929 has been assigned to document this issue.  Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html  ","A security scan by Qualys is detecting ESAs running AsyncOS 8.0.1-023 as being vulnerable to the CRIME security exploit.  The security vendor provided the following CVEs:CVE-2012-4929CVE-2012-4930Looking into this further, CVE-2012-4930 is specifically dealing with the SPDY protocol.  My own tests indicate that the web server on the SMA does not support SPDY protocol, so I do not believe this CVE Is relevant here.However, CVE-2012-4929 does appear to be applicable.  My own tests with our lab appliances show that we are negotiating zlib compression.CVE-2012-4929 was discussed in WSA defect CSCzv76151, but to my knowledge has not been addressed for WSA.  In CSCzv76151 it was concluded that the only way to prevent CVE-2012-4929 was to disable encryption in our version of CiscoSSL using the 'NO_COMPRESSION' flag (see the Eng-notes enclosure)."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
CSC.embu,primecollab,prov-ui-framework,customer-use,3,0,0,CSCus89402,Prime Colaboration Provisioning GUI fails to report LDAP sync error," Symptom: Prime Collaboration Provisioning GUI report successful LDAP Sync however nice logs show LDAP error such as:  Fri 30-May-2014 11:31:32 WEST:HIG:b9a6-SAX Thread I:AAAManager :static  ERROR: Could not get connection to the main LDAP server: ldap://10.122.138.78:389 with user security principal: CN=PCPldap,CN=Users,DC=bxb,DC=cucm,DC=local  [LDAP: error code 49 - 80090308: LdapErr: DSID-0C0903A8, comment: AcceptSecurityContext error, data 52e, v1db1  Conditions: PCP 10.5 with LDAP integration configured  Workaround: Review NICE logs to determine if LDAP sync is actually successful. In the above example the wrong password was used for the PCPldap user. After correcting this both the NICE logs and GUI report successful LDAP sync  Further Problem Description:  ","Prime Collaboration Provisioning GUI reports successful LDAP sync even though NICE logs show sync failed due to incorrect credentials.NICE logs://nice logs showing initial sync attempt on May 30 Fri 30-May-2014 11:31:32 WEST:HIG:b9a6-SAX Thread I:AAAManager :<<static>> ERROR: Could not get connection to the main LDAP server: ldap://10.1.5.101:389 with user security principal: CN=CCM Administrator,CN=Users,DC=rnsi,DC=local [LDAP: error code 49 - 80090308: LdapErr: DSID-0C0903A8, comment: AcceptSecurityContext error, data 52e, v1db1//subsequent sync attempt done on March 25 Tue 25-Mar-2014 18:35:15 UTC:HIG:b981-SAX Thread I:AAAManager :<<static>> ERROR: Could not get connection to the main LDAP server: ldap://10.1.5.101:389 with user security principal: CN=CCMAdministrator,ou=Users,dc=rnsi,dc=local [LDAP: error code 49 - 80090308: LdapErr: DSID-0C0903A8, comment: AcceptSecurityContext error, data 52e, v1db1]"," PSIRT-owner: psirt@cisco.com           This issue has been evaluated by PSIRT and does not meet the criteria for PSIRT ownership or involvement.  This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this defect, please contact psirt@cisco.com for another evaluation.  The public Release-note Enclosure will serve as the customer notification for the issue."
