Project,Product,Component,Found,Severity,ISSS,ISOIB,DDTS,Title,RNE,Description,PSIRT
CSC.datacenter,ucs-blade-server,bmc,customer-use,3,0,0,CSCuc26360,KVM avct_server : Avocent server certificate expired since 2010," Symptom: The KVM Java client may pop up an error/warning message stating that the KVM certificate to the blade has expired.   Conditions: When opening a KVM session to a UCS blade server, the KVM java client will announce that the certificate has either expired and/or is untrusted.   Workaround: The proposed workaround is to trust the certificate until Cisco releases a new firmware with update certificates. The Java client will state that the  certificate is untrusted and allow you to make the decision on trust. You can trust the certificate. If you do not, the KVM session will not establish.  PSIRT Evaluation: The Cisco PSIRT has assigned this bug the following CVSS version 2 score. The Base and Temporal CVSS scores as of the time of evaluation are  2.7/2.1: http://tools.cisco.com/security/center/cvssCalculator.x?vector=&version=2.0 dispatch=1&version=2&vector=AV:L/AC:M/Au:M/C:P/I:P/A:N/E:POC/RL:OF/RC:C No CVE ID has been assigned to this issue. Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html ","t certificate used by avct_server to establish SSL connection is actually expired in 2010:===% keytool -printcert -file cert.pemOwner: CN=Appliance, OU=DSView, O=Avocent Corp., L=Huntsville, ST=Alabama, C=USIssuer: CN=Appliance, OU=DSView, O=Avocent Corp., L=Huntsville, ST=Alabama, C=USSerial number: 0Valid from: Wed Jul 23 12:41:09 PDT 2003 until: Thu Oct 14 23:44:37 PDT 2010Certificate fingerprints:         MD5:  9E:05:89:B3:4C:AE:89:CA:0E:B2:6A:99:52:A6:22:87         SHA1: 8A:74:1C:64:01:FC:C9:AC:4E:5A:9D:7E:4B:B9:8F:D8:58:AF:47:EA% pwd/auto/savbu-releng/buildsa/builds/ucs-b-series/delmar-mr1-builds/120906-213019-rev112197-21/bmc/applications/avct_server"," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.datacenter,nexus-3000,cli,customer-use,3,0,0,CSCul23419,Cisco NX-OS Arbitrary File Read Vulnerability," Summary Cisco NX-OS software contains a directory traversal vulnerability within the command line interface that could allow a local, authenticated attacker to disclose the contents of arbitrary files on the affected device.  An attacker could leverage the NX-OS ''copy'' command to duplicate the contents of arbitrary files on the device to a user writable area of the filesystem.  As the new file will be owned by the authenticated user, the attacker will be able to view the contents.  This vulnerability affects the following platforms which are based on Cisco NX-OS: Cisco Nexus 7000 Cisco MDS 9000 Cisco Nexus 6000 Cisco Nexus 5500 Cisco Nexus 5000 Cisco Nexus 4000 Cisco Nexus 3500 Cisco Nexus 3000 Cisco Nexus 1000V Cisco Connected Grid Router 1000 Series Cisco Unified Computing System Fabric Interconnect 6200 Cisco Unified Computing System Fabric Interconnect 6100  Conditions Device is running an affected version of Cisco NX-OS software; An authenticated user with the privileges to run the copy command.  Further Problem Description: This issue was discovered during internal testing by Cisco.  PSIRT Evaluation:  The Cisco PSIRT has assigned this bug the following CVSS version 2 score. The Base and Temporal CVSS scores as of the time of evaluation are : 4.6/4.4 http://tools.cisco.com/security/center/cvssCalculator.x?vector=AV:L/AC:L/Au:S/C:C/I:N/A:N/E:F/RL:U/RC:C&version=2.0 CVE ID CVE-2013-6975 has been assigned to document this issue.  Additional details about the vulnerability described here can be found at: http://tools.cisco.com/security/center/content/CiscoSecurityNotice/CVE-2013-6975  Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html ","N3K: ;copy; command allow access to arbitrary files & contentsWith N3K, the ;copy; command allow access to arbitrary files (readable by system-user ;svc-isan;) along with the file content as follows:-----------switch# copy volatile: bootflash:Enter source filename: ../etc/passwdCopy progress 100% 495BCopy complete, now saving to disk (please wait)...switch# dir bootflash:passwd        495    Nov 06 02:09:49 2013  passwdUsage for bootflash://sup-local  738312192 bytes used  870965248 bytes free 1609277440 bytes totalswitch# ----------- The complete transcript of the repro session is listed in the ;Debug-output; enclosure. In the above example the contents of the /etc/passwd file can be viewed. The good news is files that are not readable by the system user ;svc-isan; won't be copied over with ;Permission denied; error message. The expectation is ;copy; command must prevent the directory traversal vulnerability and reject ;..; in the filename to reach to the parent directory ;..;Image Used:/auto/n3keagleinteg/daily_build/fiji_ecats/nexus/5/src/build/images/final/n3000-uk9.6.0.2.U2.0.5.bin/auto/n3keagleinteg/daily_build/fiji_ecats/nexus/5/src/build/images/final/n3000-uk9-kickstart.6.0.2.U2.0.5.bin", 
CSC.content-security,sfims,snort,customer-use,3,0,0,CSCve17389,PSIRT: Hedgehog in the Fog IPv6 data exfiltration," $$IGNORE-PSIRT  Symptoms:  Conditions:  Workaround:  Further Problem Description:  PSIRT Evaluation: The Cisco PSIRT has evaluated this issue and does not meet the criteria for PSIRT ownership or involvement. This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this issue, please contact psirt@cisco.com for another evaluation.  Additional information on Cisco's security vulnerability policy can be found at the following URL:  http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html","A customer requested Cisco comment on the 'Hedgehog in the Fog' tools and methodology outlined here:Abstract: https://ccdcoe.org/multimedia/hedgehog-fog-creating-and-detecting-ipv6-transition-mechanism-based-information.htmlReport: https://ccdcoe.org/sites/default/files/multimedia/pdf/ip6eva_0.pdfnc64 exfiltration tool: https://github.com/lockout/nc64tun64 tunneling tool: https://github.com/lockout/tun64--nc64 breaks data across multiple sessions using both IPv4 and IPv6 to avoid reassembly and detection--tun64 is used to tunnel IPv6 sessions over dual stack IPv4 networks. --The report gives low marks to Snort, but this appears to be primarily due to a lack of rules that would match the data exfiltration techniques.--The report raises some concerns about session tracking/reassembly and IPv6 inspection that are potentially relevant to the Firepower line-- Top concerns from the report are from a rule perspective. However, it appears that a review of how Snort handles at least the nc64 technique is justifiedPer discussion with PSIRT team, filing a bug is the preferred method to initiate a review."," Closing out investigation per messaging from Firepower TAC Lead:  From: ""Adam Kilgore (akilgore)"" &lt;akilgore@cisco.com&gt; Date: Wednesday, August 23, 2017 at 05:19 To: ""(mgerencs) Wade Gerencser"" &lt;mgerencs@cisco.com&gt;, ""Jigesh Patel (jigespat)"" &lt;jigespat@cisco.com&gt; Cc: ""Lokesh Bevinamarad (lbevinam)"" &lt;lbevinam@cisco.com&gt;, Terri Grant &lt;tfinn@cisco.com&gt;, ""Ashwin Shimoga Nanjunda Rao (ashimoga)"" &lt;ashimoga@cisco.com&gt;, ""psirt-reply-in@cisco.com"" &lt;psirt-reply-in@cisco.com&gt;, ""Bhargava Jandhyala (bjandhya)"" &lt;bjandhya@cisco.com&gt;, ""Cynthia Leonard (cyleonar)"" &lt;cyleonar@cisco.com&gt; Subject: Re: CSCve17389 I Comments [PSIRT-1818865758]   Hi Wade,   TALOS completed their review in bug 328305. If you have access to the TALOS bug system, you can review the data here:   https://bugzilla.vrt.sourcefire.com/show_bug.cgi?id=328305   Below is the final summary from the bug:   ?I'm happy to inform you that coverage for the exfiltration techniques that can be covered in this paper has had coverage committed, or exists already.   In addition to the DNS tunneling indicators in Comment #10, we've also got the following rules to detect different types of data exfiltration:   For the SSH tunneling, since its encrypted, we can't detect the traffic, however, for ssh on non-standard ports, we have SID 13586.   For ICMP tunneling, we have a rule to detect ptunnel, SID 21853. Additionally, we have SIDS 384 and 29456 for unusual ICMP traffic.   Like stated in Comment # 9, we cannot provide detection for the NC64 proof of concept tool. Its designed to work over multiple tcp/udp connections and evades the session requirement of snort.   The Tun64 tool does ipv6 in ipv4 by packing an ipv6 connection into an ipv4 packet, and setting the ipv4 protocol to 0x41, which is the ipv6 protocol indicator. We have a rule to detect this, SID 8446. The snort_decoder can also detect these kinds of sessions when encapsulated inside of a GRE packet, which is a feature the tool also provides. However, we can't directly detect TUN64, as all of the data it contains is in plain text.   Finally, for the HTTPtunnel tool, SID 43565 was just committed to detect this proxy tool, and will be available in an upcoming release.   Here's the full list of SIDS we offer to detect data exfiltration using these techniques:   13586 21853 384 29456 8446 43565 21355 30881 19187 27046 ?   The above references comment 9 and comment 10:   Comment 9: ?I took a look at the nc64 tool.   NC64 works by taking the data meant for covert exfiltration and sending it across multiple randomly chosen ipv4/ipv6 connections. This bypasses normal detection because there are multiple sessions.   Unfortunately, because there are multiple random ipv4/ipv6 connections, we cannot write plain-text rule for the nc64 tool.   I will continue investigating the tun64 tool, as well as some of the ipv6 exfiltration mechanisms it uses. ?   Comment 10: ?I've been working on this as I can, we have coverage for a lot of the tools inside the bug, here are a few of the sids and the tools that are covered by them:   dnscat: 30881 Iodine dns tunnel: 27046   Generic dns rules for possible tunneling attempts: 21355 30881 19187     I'm still working on a few of the other tunneling mechanisms like httptunnel and tun64, and once I have some more information regarding those, I will update this bug.?       Thanks, Adam Kilgore Firepower TAC ? Technical Lead Email: akilgore@cisco.com | Phone:  1 919 574 6471 Hours: M-F, 8:00AM ? 4:00PM EDT (GMT ?4) . : | : . : | : ."
CSC.sys,all,igmp,customer-use,1,0,0,CSCtr28857,MSDP-peered Router joined to a multicast group may crash," Summary A vulnerability in the Multicast Source Discovery Protocol (MSDP) implementation of Cisco IOS Software and Cisco IOS XE Software could allow a  remote, unauthenticated attacker to cause a reload of an affected device. Repeated attempts to exploit this vulnerability could result in a sustained  denial of service (DoS) condition.   Cisco has released free software updates that address this vulnerability. Workarounds that mitigate this vulnerability are available. This advisory is  available at the following link: http://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20120328-msdp  Note: The March 28, 2012, Cisco IOS Software Security Advisory bundled publication includes nine Cisco Security Advisories. Each advisory lists the  Cisco IOS Software releases that correct the vulnerability or vulnerabilities detailed in the advisory as well as the Cisco IOS Software releases that  correct all vulnerabilities in the March 2012 bundled publication.   Individual publication links are in ''Cisco Event Response: Semiannual Cisco IOS Software Security Advisory Bundled Publication'' at the following link:  http://www.cisco.com/web/about/security/intelligence/Cisco_ERP_mar12.html   PSIRT Evaluation: The Cisco PSIRT has assigned this bug the following CVSS version 2 score. The Base and Temporal CVSS scores as of the time of evaluation are  7.1/5.9: http://tools.cisco.com/security/center/cvssCalculator.x?vector=AV:N/AC:M/Au:N/C:N/I:N/A:C/E:F/RL:OF/RC:C&version=2.0 CVE ID CVE-2012-0382 has been assigned to document this issue. Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html ","We have (4) customers whose ASK1004 routers started crashing yesterday.  Eachdevice has crashed multiple times.  These crashes have been reported on12.2(33)XND1, 12.2(33)XNF2, 15.0(1)S1 and 15.1(2).S1.  The decodes for allversions of IOS have been the same. Common configuration in all setups is MSDP.unconfiguring ;ip sap listen; and ;ip igmp join-group 224.2.127.254; stops thecrashing (and does not alter multicast functionality)  "," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.content-security,esa,ui,customer-use,3,0,0,CSCub36483,The length of GET requests accepted by IronPort appliances is unlimited," Symptom: IronPort appliances do not limit the length of GET requests  Conditions: In certain conditions, when a IronPort appliance receives a particularly long GET request, it may cause a high CPU condition and significant amount of disk I/O operations.  Workaround: None PSIRT Evaluation: The Cisco PSIRT has assigned this bug the following CVSS version 2 score. The Base and Temporal CVSS scores as of the time of evaluation are 5/4.8: http://tools.cisco.com/security/center/cvssCalculator.x?vector=AV:N/AC:L/Au:N/C:N/I:N/A:P/E:F/RL:U/RC:C&version=2.0 CVE ID CVE-2012-4626 has been assigned to document this issue. Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html  Further Problem Description:  ","Actually I think there are several issues here, which maybe should be reported separately.I. The length of GET/POST requests accepted by our appliances is unlimited.II. Online help is accessible by unauthorized users.III. I think that one problematic place is using LDAP/RADIUS/MAILBOX authfor quarantine and LDAP/RADIUS to manage appliance.I. I can send following GET request to the applaince.GET /;A;*100000000 HTTP/1.1An appliance will process such request:-- the whole request is written to logs;-- application error occurs (and remote user gets information about internal error with appfault page);-- significant amount of disk I/O operations;-- logs rollovered;-- high CPU usage by gui process;II. Are there serious reasons why we should keep full online help openedfor unauthenticated sessions?I think that if online help is settled on our appliance then search is doneusing appliance's system resources?In my case I saw how search requests pegs CPU up to 100%.III. Will update results related to external auth soon. Will attach python script written to make repro more simple. Please adjust script for your needs and sorry for hard-coding :))Setup : 1. Image appliance with build 7.5.0-4462. Login with raccount to view top output.3. Tail needed logs.Steps :1. Try to send requests This request will flood gui_logs and force log rolloverself.req_param = ;A;*100000000url = ;/help/wwhelp/wwhimpl/js/html/panelnav.htm?WWHSearchWordsText=%s&WWHSearchScope=All+Available+Books; % self.req_paramThis request will flood gui_logs and force log rollover + causes appfaultself.req_param = ;A;*100000000url = ;/%s; % self.req_paramThis request will flood auth_logs and force log rolloverurl = ;/login?action=Login&referrer=&screen=login&password=%s&username=admin ;% self.req_paramYou can experiment with different requests, try several threads at once and so on.Please refer Bug: 76819 in bugzilla"," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.netbu,pix-asa,phone-proxy,customer-use,2,0,0,CSCuj66766,TFTP Request for Unprovisioned Phone/Config Creates Race in sec_db," Symptom: Due to a design limitation of the phone proxy feature of the Cisco Adaptive Security Appliance (ASA), it is possible for a race condition to occur for entries in the phone proxy connection database. This could allow a malicious user to pass traffic from an untrusted phone through the ASA.  Conditions: ASA configured for the phone proxy feature.  Workaround: None.  PSIRT Evaluation: The Cisco PSIRT has assigned this bug the following CVSS version 2 score. The Base and Temporal CVSS scores as of the time of evaluation are 4.3/3.9: http://tools.cisco.com/security/center/cvssCalculator.x?vector=AV:N/AC:M/Au:N/C:N/I:P/A:N/E:POC/RL:U/RC:C&version=2.0 CVE ID CVE-2014-0739 has been assigned to document this issue.  Additional details about the vulnerability described here can be found at: http://tools.cisco.com/security/center/content/CiscoSecurityNotice/CVE-2014-0739  Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html  Further Problem Description:   ","When phone_proxy_process_config_req() code found in Xpix/inspect/phone-proxy/phone_proxy_tftp_client.c handles a TFTP file request, it creates an entry into the security database BEFORE it attempts to receive the file from the call manager. Thus, the MAC address which is mapped to the TFTP request becomes trusted. Only after the request to the call manager for said file fails is the phone/MAC address removed from the security database. This window of time allows an external attacker to use an unprovisioned phone to bypass the security assurances of the ASA.An entry should be created into the security database only AFTER the file is successfully retrieved from the call manager, thus removing the 'trust' race.In code snippet below, pp_find_create_secure_device() ALWAYS creates an entry if one is not found.        /*         * If the request was for a signed file, the phone may have already         * be in secure mode and somehow it lost its TLS connection and         * started to try to retrieve the config file again w/o first         * requesting a CTL file, hence causing the phone to not be in the         * secure database.  We will assume that it is secure capable here         * since it is requesting a signed file and create an entry for it here.         */        if (pp_find_create_secure_device(rt_pp, mac, clientip, client_vpifn)            == NULL) {            DBG_PP_TFTP_ERROR(;PP: Error, unable to create phone entry for ;                              ;%s:%i, %e, file requested: %s\n;,                              getpifname(client_vpifn), clientip, &mac,                              filename);            return IEC_DROP_SILENT;        } A remote unauthenticated attacker can exploit this race condition to connect to the call manager. He can then spoof SIP messages to the call manager, thus being able to impersonate phones, transfer calls, call external toll numbers, etc."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.sys,cbr-8,cbr-dataplane,customer-use,3,0,0,CSCvg73687,Multicast UDP packet with dst port 68 cause process cmts_dhcp_prepro CPU high, $$IGNORE-PSIRT  Symptom: CPU high with process  ;cmts_dhcp_prepro ;  Conditions: cBR8 receive multicast UDP paccket with destination port 68  Workaround: ip access-list extended udp permit udp any 224.0.0.0 0.0.0.255 eq bootpc exit class-map match-all udp match access-group name udp exit policy-map udp class udp   police rate 1000 pps conform-action drop exceed-action drop exit exit control-plane service-policy input udp exit  Further Problem Description:  ,"Multicast UDP packet with dst port 68 cause process cmts_dhcp_prepro CPU high.Normally the DHCP packet should only be unicast or broadcast packet. But if a client on Cable side or WAN side send an UDP packet with dst address 224.x.x.x and dst port = 68, this kind of packet will be punted with cause 'Cable DHCP' and cBR8 will treate this packet as a CPU sent packet will not decrease the TTL of the packet. The packet will be also sent back the incoming interface. CPU wiil goes high with process ;cmts_dhcp_prepro; if cBR8 keep receiving this kind of packet."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.voice,meetingplace,admin,customer-use,3,0,0,CSCuu33050,Cisco Unified MeetingPlace Plain Text Password Vulnerability," Symptoms: A vulnerability in Cisco Unified MeetingPlace could allow an authenticated, remote attacker to view passwords in plain text.  The vulnerability is due to the inclusion of sensitive information in webpage source code. An attacker could exploit this vulnerability to view passwords in plain text format.  Conditions: Device running with default configuration running an affected version of software.  Workaround: None.  Further Problem Description: None.  PSIRT Evaluation: The Cisco PSIRT has assigned this bug the following CVSS version 2 score. The Base and Temporal CVSS scores as of the time of evaluation are 4/3.3: http://tools.cisco.com/security/center/cvssCalculator.x?vector=AV:N/AC:L/Au:S/C:P/I:N/A:N/E:F/RL:OF/RC:C&version=2.0  CVE ID CVE-2015-4214 has been assigned to document this issue.  Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html ","Security Assurance identified pages within the MP Application server Administration web interface that store system passwords in clear-text. These pages disclose passwords for backup, archiving and databases.Nagigate to  Maintenance > Backup and Archive Enter the details for Backup and Archive including userid and passwordSAVEIf you look at the source code for this page you are given the username and password in clear text in the page sourcep>Pathname location of archive</td><td nowrap width=;100%;> <input type=;text;name=;archive_location; value=;./SATKNX11MP; size=;40;></td></tr><tr><td nowrap>Remote archive host</td><td nowrap width=;100%;> <input type=;text;name=;archive_scp_host; value=;10.160.79.212; size=;40;></td></tr><tr><td nowrap>Remote host username</td><td nowrap width=;100%;> <input type=;text;name=;archive_scp_auth_username; value=;[CLEAR TEXT USER ID]; size=;40;></td></tr><tr><td nowrap>Remote host password</td><td nowrap width=;100%;> <input type=;password;name=;archive_scp_auth_password; value=;{CLEAR TEXT PASSWORD}; size=;40;></td></tr><tr><td nowrap>Notification email</td><td nowrap width=;100%;> <input type=;text;name=;notification_mail_user; value=;; size=;40;></td></tr>"," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.datacenter,ucs-blade-server,ucsm-security,customer-use,3,0,0,CSCuc73944,Nessus scan of UCSM lists- SSL Server Accepts Weak Diffie-Hellman Keys," Symptoms: Cisco Unified Computing System (UCS) Manager running on the UCS Fabric Interconnect includes a version of OpenSSL that is affected by the vulnerabilities identified by the following Common Vulnerability and Exposures (CVE) IDs:  CVE-2011-5095: The Diffie-Hellman key-exchange implementation in OpenSSL 0.9.8, when FIPS mode is enabled, does not properly validate a public parameter, which makes it easier for man-in-the-middle attackers to obtain the shared secret key by modifying network traffic, a related issue to CVE-2011-1923. This has been classified by the vendor as having a CVSSv2 score of 4.0 (AV:N/AC:H/AU:N/C:P/I:P/A:N)  Cisco has analyzed these vulnerabilities and concluded that the product is not impacted  Conditions: Not applicable  Workaround: Not applicable  Further Problem Description: Additional details about the vulnerabilities listed above can be found at http://cve.mitre.org/cve/cve.html  PSIRT Evaluation: The Cisco PSIRT has evaluated this issue and does not meet the criteria for PSIRT ownership or involvement. This issue will be addressed via normal resolution channels.  If you believe that there is new information that would cause a change in the severity of this issue, please contact psirt@cisco.com for another evaluation.  Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html","Problem Description:--------------------Nessus scan on UCSM lists ;Nessus ID : 53360  SSL Server Accepts Weak Diffie-Hellman Keys Please go through the attached Nessus report, the possible solution will be to upgrade OpenSSL to 1.0.0This defect is filed for tracking purpose since the openSSL upgrade to 1.0.0 is already in the UCSM security road map."," PSIRT-owner: psirt@cisco.com           This issue has been evaluated and driven to closure by PSIRT.  PSIRT has provided a public Release-note Enclosure (RNE) for this issue which is visible on Cisco.com.   If a customer is being impacted by this issue, please guide them to the 'Workaround' section of the RNE or recommend a software upgrade to a patched release.   If a patched release is not available  for the customer-specific situation, you will need to escalate the issue  through the DE manager or the business unit that owns the DDTs defect.  There is no need to contact PSIRT for this issue.  Do not provide customers with any information beyond what is currently contained in the RNE."
CSC.datacenter,n9k-standalone-sw,python,customer-use,2,0,0,CSCve97102,Cisco NX-OS Python Parser Escape Vulnerability," Symptom: A vulnerability in the Python scripting subsystem of Cisco NX-OS System Software could allow an authenticated, local attacker to escape the python parser and gain unauthorized access to the underlying operating system of the device.  The vulnerability exists due to insufficient sanitization of user supplied parameters passed to certain Python functions within the scripting sandbox of the affected device. An attacker could exploit this vulnerability to escape the scripting sandbox and execute arbitrary commands on the underlying operating system with the privileges of the authenticated user.  This advisory is available at the following link: https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20171018-ppe  Conditions: To exploit this vulnerability, an attacker must have local access and be authenticated to the targeted device with administrative or python execution privileges. These requirements could limit the possibility of a successful exploit.  Workaround: There are no workarounds that address this vulnerability.  A mitigation for this vulnerability is to ensure administrators have restricted python sandbox access to only highly trusted users.  Further Problem Description: For information about vulnerable and not vulnerable software releases, and time frame for fixed software releases, please open a support case with your support organization. PSIRT does not provide or maintain this information for Medium SIR advisories.  Credit: Cisco would like to thank Network Engineer Cody Winkler for finding and reporting this vulnerability.  PSIRT Evaluation: The Cisco PSIRT has assigned this bug the following CVSS version 3 score. The Base CVSS score as of the time of evaluation is 4.2: https://tools.cisco.com/security/center/cvssCalculator.x?version=3.0&vector=CVSS:3.0/AV:L/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:L/E:X/RL:X/RC:X  CVE ID CVE-2017-12301 has been assigned to document this issue.  Additional information on Cisco's security vulnerability policy can be found at the following URL: http://www.cisco.com/en/US/products/products_security_vulnerability_policy.html  ","From the python sandbox you can escape the parser by executing these commands:switch# >>> import osswitch# >>> cmd = ['bash']switch# >>> os.spawnvpe('os.P_WAIT','bash',cmd,os.environ)The vdc-admin user can get to a bash shell with limited command execution with feature bash-shell disabled9396-A# show featfeature       feature-set   9396-A# show featureFeature Name          Instance  State   --------------------  --------  --------bash-shell             1          disabledbfd                    1          disabledbgp                    1          disableddhcp                   1          disabledeigrp                  1          disabled9396-A# show usersNAME     LINE         TIME         IDLE          PID COMMENTvadmin   ttyS0        Jun 26 13:17   .         11701 *9396-A# show user-account user:vadminthis user account has no expiry dateroles:vdc-admin 9396-A# pythonPython 2.7.5 (default, Oct  8 2013, 23:59:43) [GCC 4.6.3] on linux2Type ;help;, ;copyright;, ;credits; or ;license; for more information.>>> >>> import os>>> cmd = ['bash']>>> os.spawnvpe('os.P_WAIT','bash',cmd,os.environ)Permission denied. Permission denied. Permission denied. Permission denied. shell-init: error retrieving current directory: getcwd: cannot access parent directories: Permission deniedPermission denied. bash: /var/home/vadmin/.bashrc: Permission deniedPermission denied. bash-4.2$ idbash: id: command not foundbash-4.2$ whoamibash: whoami: command not foundbash-4.2$ bash-4.2$ echo $PATH/sbin:/usr/sbin:/isan/bin:/isanboot/bin:/usr/local/bin:/usr/bin:/bin:/usr/bin/X11:/usr/games"," PSIRT-owner: marmclau           PSIRT is reviewing this issue for possible inclusion in a Cisco Security  Advisory which could include this DDTs.  Please do not change the  Release-note Enclosure, as PSIRT will modify it appropriately when this  issue is made public.          Should customers request information regarding this DDTs or appear to be running into this DDTs within their network, please bring it to the immediate attention of the Cisco PSIRT at psirt@cisco.com."
